7886 14:50:03 X:-0.176 Y:+0.094 T:+11.6.
7924 14:50:03 X:-0.079 Y:+0.089 T:+11.6.
8038 14:50:04 X:-0.038 Y:+0.085 T:+11.6.
8076 14:50:05 X:-0.183 Y:+0.100 T:+11.6.
8114 14:50:05 X:-0.056 Y:+0.095 T:+11.6.
8152 14:50:06 X:-0.165 Y:+0.093 T:+11.6.
8190 14:50:06 X:-0.111 Y:+0.094 T:+11.6.
8228 14:50:06 X:-0.104 Y:+0.095 T:+11.6.
8266 14:50:07 X:-0.185 Y:+0.097 T:+11.6.
8304 14:50:07 X:-0.095 Y:+0.095 T:+11.6.
8342 14:50:08 X:-0.169 Y:+0.099 T:+11.6.
8380 14:50:08 X:-0.073 Y:+0.086 T:+11.6.
8418 14:50:08 X:-0.137 Y:+0.092 T:+11.5.
8456 14:50:09 X:-0.153 Y:+0.101 T:+11.5.
8494 14:50:09 X:-0.085 Y:+0.090 T:+11.5.
8532 14:50:10 X:-0.170 Y:+0.092 T:+11.5.
8568 14:50:10 X:-0.086 Y:+0.096 T:+11.5.
8606 14:50:10 X:-0.172 Y:+0.100 T:+11.5.
8644 14:50:11 X:-0.101 Y:+0.092 T:+11.5.
8682 14:50:11 X:-0.156 Y:+0.097 T:+11.5.
8720 14:50:12 X:-0.169 Y:+0.102 T:+11.5.
8756 14:50:12 X:-0.092 Y:+0.095 T:+11.5.
8794 14:50:13 X:-0.237 Y:+0.102 T:+11.5.
8832 14:50:13 X:-0.054 Y:+0.093 T:+11.5.
8870 14:50:13 X:-0.179 Y:+0.097 T:+11.5.
8908 14:50:14 X:-0.154 Y:+0.100 T:+11.5.
8946 14:50:14 X:-0.178 Y:+0.101 T:+11.5.
8984 14:50:15 X:-0.033 Y:+0.089 T:+11.5.
9097 14:50:16 X:-0.018 Y:+0.088 T:+11.5.
9135 14:50:16 X:-0.204 Y:+0.104 T:+11.5.
9173 14:50:17 X:-0.025 Y:+0.101 T:+11.5.
9211 14:50:17 X:-0.160 Y:+0.099 T:+11.5.
9249 14:50:17 X:-0.125 Y:+0.101 T:+11.5.
9362 14:50:19 X:+0.084 Y:+0.089 T:+11.5.
9400 14:50:19 X:-0.245 Y:+0.110 T:+11.5.
9438 14:50:19 X:-0.071 Y:+0.104 T:+11.5.
9476 14:50:20 X:-0.005 Y:+0.093 T:+11.5.
9514 14:50:20 X:-0.134 Y:+0.104 T:+11.5.
9552 14:50:21 X:+0.116 Y:+0.093 T:+11.5.
9590 14:50:21 X:-0.269 Y:+0.110 T:+11.5.
9628 14:50:21 X:+0.143 Y:+0.087 T:+11.5.
9666 14:50:22 X:-0.196 Y:+0.106 T:+11.5.
9704 14:50:22 X:-0.041 Y:+0.095 T:+11.5.
9742 14:50:23 X:+0.042 Y:+0.086 T:+11.5.
9780 14:50:23 X:-0.265 Y:+0.107 T:+11.5.
9818 14:50:23 X:+0.149 Y:+0.081 T:+11.5.
9856 14:50:24 X:-0.273 Y:+0.101 T:+11.5.
9894 14:50:24 X:+0.067 Y:+0.087 T:+11.5.
9932 14:50:25 X:-0.100 Y:+0.092 T:+11.5.
9970 14:50:25 X:-0.183 Y:+0.094 T:+11.5.
10008 14:50:25 X:+0.150 Y:+0.079 T:+11.5.
